epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,54.6097,1.44664,0.68515,0.98218,0.85462,0.00033033,0.00033033,0.00033033
2,132.61,0.80286,0.81188,1,0.53543,0.000630812,0.000630812,0.000630812
3,198.056,0.68184,0.8297,0.99802,0.4875,0.000898294,0.000898294,0.000898294
4,260.496,0.53933,0.82574,0.99802,0.46033,0.0008515,0.0008515,0.0008515
5,322.717,0.50453,0.86337,0.99604,0.43068,0.000802,0.000802,0.000802
6,386.007,0.44341,0.86733,0.99802,0.35207,0.0007525,0.0007525,0.0007525
7,446.839,0.35541,0.91287,0.99802,0.27933,0.000703,0.000703,0.000703
8,507.249,0.3226,0.88713,0.99802,0.30986,0.0006535,0.0006535,0.0006535
9,568.701,0.27507,0.90297,0.99802,0.28929,0.000604,0.000604,0.000604
10,629.232,0.22654,0.90891,0.99802,0.26527,0.0005545,0.0005545,0.0005545
11,689.214,0.27156,0.86733,0.99802,0.35984,0.000505,0.000505,0.000505
12,749.384,0.19768,0.90891,0.99604,0.28601,0.0004555,0.0004555,0.0004555
13,809.448,0.17375,0.89901,0.99802,0.27106,0.000406,0.000406,0.000406
14,869.88,0.16674,0.91089,0.99802,0.2459,0.0003565,0.0003565,0.0003565
15,929.714,0.1642,0.91881,0.99802,0.24889,0.000307,0.000307,0.000307
16,989.653,0.1429,0.91485,0.99802,0.25434,0.0002575,0.0002575,0.0002575
17,1050.66,0.15163,0.91089,0.99802,0.27451,0.000208,0.000208,0.000208
18,1111.49,0.13586,0.91089,0.99802,0.26888,0.0001585,0.0001585,0.0001585
19,1172.51,0.1212,0.91485,0.99802,0.2555,0.000109,0.000109,0.000109
20,1233.23,0.11575,0.91683,0.99802,0.24955,5.95e-05,5.95e-05,5.95e-05
